roku:요 蓼
roku:육 六戮
ron:란 亂
ron:윤 崙
rop:랍 拉
ru:농 聾
ru:로 櫓爐盧蘆路露魯瀘輅鷺
ru:롱 弄籠朧瓏
ru:뢰 賂
ru:루 樓漏縷婁瘻褸鏤
ru:류 旒榴瀏瑠瘤
ru:무 繆
ru:유 劉柳流溜琉留硫
ru:호 芦
rui:루 壘累
rui:리 羸
ryag:량 倆粮粱輛
ryag:령 伶領
ryag:양 亮兩凉梁糧良諒量
ryag:영 令囹嶺怜玲羚聆鈴零靈
ryaku:력 瀝礫
ryaku:약 掠略
ryaku:역 轢
ryo:려 侶慮櫚驢
ryo:로 虜
ryo:여 呂廬旅濾閭
ryog:롱 壟
ryog:릉 凌稜綾菱楞
ryoku:록 碌
ryoku:역 力
sa:사 唆梭
sa:좌 佐左
sa:주 做
sa:차 磋蹉
sag:상 喪桑
sag:장 臧葬
sag:창 倉滄艙
sai:쇄 碎
sai:시 猜
sai:재 再宰栽災縡載
sai:채 彩採綵菜蔡采
sai:최 崔
saku:삭 朔
saku:작 作
saku:착 搾
sam:삼 三
san:산 傘散珊蒜酸
san:찬 燦纂粲讚贊鑽餐
satu:살 撒
satu:찰 擦
sau:소 掃
sau:수 嫂
sau:조 操早棗燥糟繰藻蚤躁遭
sau:초 艸草
se:사 蓑
se:재 哉齋
se:채 債
se:최 催
sei:서 壻栖棲犀西
sei:세 世細
sei:제 制祭製際霽
sei:처 凄妻悽
sem:삼 杉芟
sem:섬 暹殲纖閃
sem:점 占
sem:첨 僉尖瞻簽籤
sen:관 串
sen:긍 亘
sen:산 刪山汕産疝
sen:선 仙僊先宣扇煽癬線腺蘚跣選銑
sen:세 洗
sen:전 剪專戰栓氈煎筌箋箭詮銓鐫顫
sen:찬 簒
sen:천 仟千川淺穿舛薦遷釧闡阡
sep:급 扱
sep:섭 燮
sep:접 摺
sep:첩 妾睫
sep:협 浹
seti:쇄 刷
seti:찰 察札
setu:계 契
setu:설 屑楔泄洩渫薛褻設雪
setu:섭 攝
setu:쇄 殺
setu:절 折浙竊節
setu:접 接
setu:졸 拙
setu:찰 刹
setu:체 切
seu:소 召嘯宵小少昭沼消瀟燒笑篠簫蕭逍銷
seu:조 照爪詔
seu:초 剿哨抄招梢椒炒焦硝礁稍肖蕉
si:기 祇
si:사 伺使史四師徙思斯死泗獅私篩絲肆賜駟
si:시 嘶始尸屎屍施矢翅蓍試詩豕
si:자 仔咨姉姿孜恣紫諮資
si:재 梓滓
si:지 之只咫址志指摯支旨枝枳止沚祗紙肢脂至芝誌贄趾
si:차 此
si:치 侈嗤幟梔熾緇蚩輜
sii:시 弑
sim:삼 森蔘
sim:심 審心沁深瀋芯
sim:잠 箴
sim:짐 斟
sim:참 僭
sim:침 侵寢浸針
sin:견 甄
sin:신 伸信呻娠新申紳薪身辛
sin:진 振晉晋榛津畛眞瞋縉臻袗賑軫進
sip:집 緝
situ:슬 瑟膝
situ:습 濕
situ:실 失室
situ:질 叱桎
situ:집 執
situ:칠 七
so:조 祖
sog:송 宋
sog:승 僧
sog:종 綜踪
sog:창 窓
soku:색 塞
soku:착 捉
soku:측 側仄厠惻
soku:칙 則
som:잠 簪
som:참 參
son:산 算
son:손 孫巽損遜
son:준 樽
son:촌 忖村
su:사 司
su:소 塑溯甦素蘇訴遡
su:송 送
su:수 嗽收漱藪
su:자 子
su:조 措租粗組
su:주 嗾奏州洲湊走輳
su:착 錯
su:총 總聰
sui:쇠 衰
sui:수 水粹綏邃雖
sui:추 錐
sui:췌 膵
sui:취 吹嘴炊翠醉
sun:촌 寸
sya:사 些奢娑寫捨沙渣瀉砂紗舍莎裟詐赦
sya:쇄 灑
sya:자 者
sya:저 姐這
sya:차 車叉嗟差
syag:상 傷商孀廂想湘爽相箱觴賞
syag:생 牲生甥
syag:성 省姓性惺星猩聖聲腥
syag:장 壯奬將掌樟漿璋章粧莊裝
syag:쟁 爭箏諍
syag:정 井征政整旌晶正睛精鉦
syag:창 倡創唱娼廠彰愴敞昌槍猖瘡菖
syag:청 菁
syag:향 餉
syaku:삭 削
syaku:색 索
syaku:석 惜昔析淅潟釋
syaku:작 斫灼炸爵綽酌
syaku:적 炙勣積績赤跡蹟迹
syaku:차 借
syaku:착 窄
syaku:책 冊柵策
syaku:척 刺尺戚斥脊
syo:서 庶暑書胥黍
syo:소 所梳疏疎蔬
syo:자 煮蔗
syo:저 杵渚狙疽詛雎
syo:제 諸
syo:조 俎阻
syo:차 且
syo:척 蹠
syo:초 初楚礎
syog:승 勝升昇
syog:증 甑症證
syog:칭 秤
syoku:색 嗇穡
syoku:속 束
syoku:식 式息拭熄軾
syoku:지 識
syoku:직 稷織
syoku:촉 促囑燭
syu:공 蚣
syu:송 悚松淞
syu:수 數修守手搜狩秀羞脩蒐輸銹須首
syu:족 足
syu:종 慫棕種腫踵鍾
syu:주 主侏周朱珠舟週酒
syu:추 楸樞湫皺秋芻萩諏趨鄒醜
syu:충 衝
syu:취 取娶臭趣
syug:용 聳
syug:종 宗終
syug:중 衆
syuku:속 謖
syuku:숙 叔夙宿肅
syuku:축 祝縮蹙蹴
syun:순 瞬舜蕣
syun:전 悛
syun:준 俊儁峻浚濬竣蠢逡
syun:춘 春
syuti:율 率
syutu:수 帥
syutu:졸 卒
syutu:출 出
ta:다 多
ta:타 他唾墮妥惰朶楕舵陀
tag:당 唐堂塘幢撞棠當螳
tag:동 憧
tag:탕 糖宕帑
tai:능 能
tai:대 代垈大岱帶待戴擡玳臺袋貸隊
tai:태 兌台太怠態殆汰泰胎苔
tai:퇴 腿退
taku:탁 拓倬卓托柝濁濯琢託
taku:택 宅擇
tam:감 堪
tam:담 啖憺擔曇淡潭痰膽覃談譚
tan:단 但壇彖斷旦檀段湍短端緞蛋袒鄲
tan:달 疸
tan:란 丹
tan:탄 嘆坦彈憚歎灘炭綻
tan:탕 湯
tap:납 納
tap:답 沓
tap:탑 塔
tatu:달 撻獺
tatu:탈 奪
tau:도 倒到導島嶋悼搗桃棹櫂淘滔濤盜稻萄蹈逃道陶
tau:요 撓
tau:투 套
teg:정 呈定庭廷挺渟程鄭霆
tei:저 低底抵邸
tei:제 啼堤帝弟悌提梯第蹄醍題
tei:지 砥
tei:체 剃替涕滯締諦逮遞
teki:적 敵狄笛荻迪
teki:척 擲滌
teki:탁 擢
tem:념 恬
tem:점 店点霑
tem:참 站
tem:첨 添
ten:리 厘
ten:연 椽
ten:전 佃傳典奠展廛殿澱田甸癲篆纏輾轉鈿電
ten:정 淀
ten:진 嗔殄
ten:천 天
tep:차 箚
tep:첨 沾
tep:첩 帖牒疊諜貼
tetu:일 佚
tetu:질 蛭跌
tetu:철 哲徹撤綴輟轍
teu:도 挑掉跳
teu:수 蓚
teu:적 吊
teu:조 兆凋嘲弔彫晁朝條潮眺窕肇調趙釣雕
teu:초 貂超
ti:이 弛
